,Unnamed: 0.1,Unnamed: 0,Review,Rating
141,141,141,"Every Laptop has its pros and cons:Pros:1. Build quality is very good compared to similar laptops at this price range.2. No keyboard and top lid flex at all.3. It has maximum number of ports so need of any hub.4. It looks sleak and simple.5. It has a Xbox game pass too, u can enjoy 200+ games for 8 months for free.6. Lenovo Vantage software is very good and it has mux switch also which helps in a little FPS boost.7. Most of the games can be played in Highest graphics settings.8. 120H...",everi laptop pros  build qualiti good compar similar laptop price  keyboard top lid flex  maximum number port need  look sleak  xbox game pass u enjoy  game  month  lenovo vantag softwar good mux switch also help littl fps  game play highest graphic  
142,142,142,Superb,superb
143,143,143,"A bit outdated as in 2022 but still is performance for a medium level user or gamer is excellent. You can wait for 2021 model's price to come down. Although everyone knows that legion is the true king of gaming laptop. Only one cone which I noticed its that it has less battery backup. Even in the case of activating power saver option the laptop doesn't give good battert backup, there is nothing else to complain.",bit outdat  still perform medium level user gamer excel wait  model price come although everyon know legion true king game laptop one cone notic less batteri backup even case activ power saver option laptop doesnt give good battert backup noth els complain
144,144,144,"I have been using it for more that a month now , during the time I have been using it for coding and some light gaming. Performance wise it's great Lenovo has done a good job in cooling as even while gaming for 2 to 3 hours the temperatures were under control, the boot time is also great.The build quality is great, it feels dense and sturdy. There were three reasons why one would pick this 1. The build quality2. The I/O is great , a normal user would not need USB hub3. The option to swit...",use month  time use code light game perform wise great lenovo done good job cool even game   hour temperatur control boot time also greatth build qualiti great feel dens sturdi three reason one would pick  build  io great  normal user would need usb  option swit
145,145,145,Very good 👍performance 👏,good 👍perform 👏
146,146,146,Awesome product!,awesom product
147,147,147,"Laptop is a bit expensive comapred to its counterparts, features are good but my laptop got FREEZE two times in the first month of the use. Performance is top notch given the specs.",laptop bit expens comapr counterpart featur good laptop got freez two time first month use perform top notch given spec
148,148,148,Good,good
149,149,149,Very nice,nice
150,150,150,It is a really good laptop under this price( 42-43)k  and is worth the money. The boot time is so fast (10sec.). This processor is more powerful than i3 11th generation. Maximum battery backup is 5 hour. The only con is that it doesn't have ips display.,realli good laptop price   worth money boot time fast  processor power   generat maximum batteri backup  hour con doesnt ip display
151,151,151,"Laptop is goodPros :  (1) Absolutely great performance            (2) Battery is excellent           (3) keyboard is good           (4) overall is good, value for money           (5) build quality is average neither very good nor very                 bad Cons :  (1) Display is TN - viewing angles are so bad as it should                 be as a TN pane. Colour reproduction is bad, this                                 this display has yellow tint and so I calibrated the             ...",laptop goodpro    absolut great perform             batteri excel            keyboard good            overal good valu money            build qualiti averag neither good                 bad con    display tn  view angl bad                 tn pane colour reproduct bad                                 display yellow tint calibr             
152,152,152,Value for money,valu money
153,153,153,Too good,good
154,154,154,Super quality,super qualiti
155,155,155,Great device. Let me tell the Pros..1. Superb build quality 2. Great display. 3. Camera is great in good lighting conditions 4. Processing is great. 5. Sound is superb. 6. Call quality is great. 7. Red colour looks superb.8. Portrait mode photography is Superb.,great devic let tell  superb build qualiti  great display  camera great good light condit  process great  sound superb  call qualiti great  red colour look  portrait mode photographi superb
